lemmatized_cue,cue,n
(s)agacer,agace,NA
(s)agacer,agacer,1147
(s)agacer,agacent,NA
(s)agacer,agacé,NA
(s)agacer,agaçait,NA
(s)agacer,agaçaient,NA
(s)agacer,agaça,NA
(s)agacer,agaçant,1
(s)amuser,amusant,NA
(s)amuser,amuser,300
(s)amuser,amus,2005
(s)amuser,amuse,NA
(s)amuser,amusent,NA
(s)amuser,amusait,NA
(s)amuser,amusaient,NA
(s)amuser,amusa,NA
(s)amuser,amusé,NA
(s)emporter,emporte,614
(s)emporter,emporter,439
(s)emporter,emportent,NA
(s)emporter,emporté,NA
(s)emporter,emportait,NA
(s)emporter,emportaient,NA
(s)emporter,emporta,NA
(s)emporter,emportant,NA
(s)engager,engage,NA
(s)engager,engager,1709
(s)engager,engagent,NA
(s)engager,engagé,NA
(s)engager,engagée,NA
(s)engager,engageait,NA
(s)engager,engageaient,NA
(s)engager,engagea,NA
(s)engager,engageant,NA
(s)enthousiasmer,enthousiasme,1008
(s)enthousiasmer,enthousiasmer,4
(s)enthousiasmer,enthousiasment,12
(s)enthousiasmer,enthousiasmé,2
(s)enthousiasmer,enthousiasmait,27
(s)enthousiasmer,enthousiasmaient,1
(s)enthousiasmer,enthousiasma,NA
(s)exclamer,exclame,1513
(s)exclamer,exclamer,960
(s)exclamer,exclament,NA
(s)exclamer,exclamé,NA
(s)exclamer,exclamait,NA
(s)exclamer,exclamaient,NA
(s)exclamer,exclama,NA
(s)exclamer,exclamant,NA
(s)indigner,indigne,12
(s)indigner,indigner,157
(s)indigner,indignent,NA
(s)indigner,indigné,1451
(s)indigner,indignait,NA
(s)indigner,indignaient,NA
(s)indigner,indigna,2
(s)indigner,indignant,4
(s)inquiéter,inquiète,NA
(s)inquiéter,inquiéter,15561
(s)inquiéter,inquiètent,NA
(s)inquiéter,inquiété,NA
(s)inquiéter,inquiétait,NA
(s)inquiéter,inquiétaient,NA
(s)inquiéter,inquiéta,NA
(s)inquiéter,inquiétant,3
(s)inquiéter,inquiet,2244
(s)insurger,insurge,NA
(s)insurger,insurger,105
(s)insurger,insurg,1144
(s)insurger,insurgent,NA
(s)insurger,insurgé,428
(s)insurger,insurgeait,NA
(s)insurger,insurgeaient,NA
(s)insurger,insurgea,NA
(s)insurger,mentionnant,NA
(s)interroger,interroge,NA
(s)interroger,interroger,6489
(s)interroger,interrogent,NA
(s)interroger,interrogé,63
(s)interroger,interrogeait,NA
(s)interroger,interrogeaient,NA
(s)interroger,interrogea,NA
(s)interroger,interrogeant,NA
(s)étonner,étonne,10997
(s)étonner,étonner,198
(s)étonner,étonnent,NA
(s)étonner,étonné,145
(s)étonner,étonnait,NA
(s)étonner,étonnaient,NA
(s)étonner,étonna,NA
(s)étonner,étonnant,7
(s)étrangler,étrangle,167
(s)étrangler,étrangler,34
(s)étrangler,étranglent,NA
(s)étrangler,étranglé,2
(s)étrangler,étranglait,NA
(s)étrangler,étranglaient,NA
(s)étrangler,étrangla,1
(s)étrangler,étranglant,NA
(se)contenter,contente,706
(se)contenter,contenter,1164
(se)contenter,contentent,NA
(se)contenter,contenté,NA
(se)contenter,contentait,NA
(se)contenter,contentaient,NA
(se)contenter,contenta,NA
(se)contenter,contentant,NA
(se)désoler,désole,2195
(se)désoler,désoler,464
(se)désoler,désolent,NA
(se)désoler,désolé,78
(se)désoler,désolait,NA
(se)désoler,désolaient,NA
(se)désoler,désola,3
(se)désoler,désolant,4
(se)lamenter,lamente,420
(se)lamenter,lamenter,112
(se)lamenter,lamentent,NA
(se)lamenter,lamenté,NA
(se)lamenter,lamentait,NA
(se)lamenter,lamentaient,NA
(se)lamenter,lamenta,NA
(se)lamenter,lamentant,NA
(se)réjouir,réjouit,NA
(se)réjouir,réjouir,17941
(se)réjouir,réjouissent,NA
(se)réjouir,réjouissait,NA
(se)réjouir,réjouissaient,NA
(se)réjouir,réjouissant,10
abonder,abonde,NA
abonder,abonder,364
abonder,abondent,NA
abonder,abondé,NA
abonder,abondait,NA
abonder,abondaient,NA
abonder,abonda,1
abonder,abondant,1
abonder,abond,1086
accuser,accuse,18132
accuser,accuser,42358
accuser,accusent,NA
accuser,accusé,NA
accuser,accusait,NA
accuser,accusaient,NA
accuser,accusa,NA
accuser,accusant,NA
admettre,admet,NA
admettre,admettre,56398
admettre,admettent,NA
admettre,admis,28
admettre,admettait,NA
admettre,admettaient,NA
admettre,admit,NA
admettre,admettant,2560
adresser,adresse,173
adresser,adresser,8444
adresser,adressent,NA
adresser,adressé,NA
adresser,adressait,NA
adresser,adressaient,NA
adresser,adressa,NA
adresser,adressant,NA
affirmer,affirme,161703
affirmer,affirmer,231702
affirmer,affirment,NA
affirmer,affirmé,NA
affirmer,affirmait,NA
affirmer,affirmaient,NA
affirmer,affirma,NA
affirmer,affirmant,NA
aimer,aime,1562
aimer,aimer,860
aimer,aiment,NA
aimer,aimé,89
aimer,aimée,NA
aimer,aimait,NA
aimer,aimaient,NA
aimer,aima,NA
aimer,aimant,8
ajouter,ajoute,116110
ajouter,ajouter,199659
ajouter,ajoutent,NA
ajouter,ajouté,NA
ajouter,ajoutait,NA
ajouter,ajoutaient,NA
ajouter,ajouta,NA
ajouter,ajoutant,2
aller,vais,NA
aller,aller,8323
aller,vont,NA
aller,allé,NA
aller,allait,NA
aller,allaient,NA
aller,alla,NA
aller,allant,NA
analyser,analyse,20992
analyser,analyser,507
analyser,analysent,120
analyser,analysé,NA
analyser,analysait,NA
analyser,analysaient,NA
analyser,analysa,NA
analyser,analysant,1
annoncer,annoncer,252523
annoncer,annoncent,NA
annoncer,annoncé,NA
annoncer,annonçait,NA
annoncer,annonçaient,NA
annoncer,annonça,NA
annoncer,annonçant,NA
annoncer,annonce,2318
appeler,appelle,NA
appeler,appeler,44045
appeler,appellent,NA
appeler,appelé,NA
appeler,appelait,NA
appeler,appelaient,NA
appeler,appela,NA
appeler,appelant,NA
apprécier,apprécie,NA
apprécier,apprécier,690
apprécier,apprécient,NA
apprécier,apprécié,NA
apprécier,appréciait,NA
apprécier,appréciaient,NA
apprécier,apprécia,NA
apprécier,appréciant,NA
appuyer,appuie,NA
appuyer,appuyer,1100
appuyer,appuient,NA
appuyer,appuyé,NA
appuyer,appuyait,NA
appuyer,appuyaient,NA
appuyer,appuya,NA
appuyer,appuyant,NA
arguer,argue,NA
arguer,arguer,7402
arguer,arguent,NA
arguer,argué,NA
arguer,arguait,NA
arguer,arguaient,NA
arguer,argua,NA
arguer,arguant,NA
argumenter,argumente,576
argumenter,argumenter,76
argumenter,argumentent,NA
argumenter,argumenté,176
argumenter,argumentait,NA
argumenter,argumentaient,NA
argumenter,argumenta,2
argumenter,argumentant,1
assurer,assure,103156
assurer,assurer,118542
assurer,assurent,NA
assurer,assuré,NA
assurer,assurait,NA
assurer,assuraient,NA
assurer,assura,NA
assurer,assurant,NA
asséner,assène,1256
asséner,asséner,463
asséner,assènent,NA
asséner,asséné,NA
asséner,assénait,NA
asséner,assénaient,NA
asséner,asséna,5
asséner,assénant,NA
attendre,attend,2
attendre,attendre,2097
attendre,attends,NA
attendre,attendait,NA
attendre,attendant,2
attendre,attendu,NA
attendre,attendue,1
attendre,attendrait,NA
attendre,attendai,10
attester,atteste,2605
attester,attester,4723
attester,attestent,NA
attester,attesté,NA
attester,attestait,NA
attester,attestaient,NA
attester,attesta,NA
attester,attestant,NA
avancer,avance,13832
avancer,avancer,8302
avancer,avancent,NA
avancer,avancé,377
avancer,avançait,NA
avancer,avançaient,NA
avancer,avança,NA
avancer,avançant,NA
avertir,avertit,NA
avertir,avertir,19735
avertir,avertissent,NA
avertir,averti,NA
avertir,avertissait,NA
avertir,avertissaient,NA
avertir,avertissant,958
avoir,a,55
avoir,avoir,31418
avoir,ont,1
avoir,eu,NA
avoir,avait,NA
avoir,avaient,NA
avoir,eut,NA
avoir,ayant,NA
avouer,avoue,14307
avouer,avouer,7510
avouer,avouent,NA
avouer,avoué,NA
avouer,avouait,NA
avouer,avouaient,NA
avouer,avoua,341
avouer,avouant,1
calculer,calcule,1935
calculer,calculer,158
calculer,calculent,7
calculer,calculé,4
calculer,calculait,NA
calculer,calculaient,NA
calculer,calcula,NA
calculer,calculant,2
charger,charge,4
charger,charger,1509
charger,chargent,NA
charger,chargé,122
charger,chargeait,NA
charger,chargeaient,NA
charger,chargea,NA
charger,chargeant,7
choisir,choisit,NA
choisir,choisir,1711
choisir,choisissent,NA
choisir,choisi,NA
choisir,choisissait,NA
choisir,choisissaient,NA
choisir,choisissant,NA
citer,cite,6109
citer,citer,16810
citer,citent,NA
citer,cité,6923
citer,citait,NA
citer,citaient,NA
citer,cita,NA
citer,citant,6
commencer,commence,NA
commencer,commencer,2981
commencer,commencent,NA
commencer,commencé,NA
commencer,commençait,NA
commencer,commençaient,NA
commencer,commença,NA
commencer,commençant,2
commenter,commente,23904
commenter,commenter,21316
commenter,commentent,NA
commenter,commenté,NA
commenter,commentait,NA
commenter,commentaient,NA
commenter,commenta,NA
commenter,commentant,NA
conclure,conclut,NA
conclure,conclure,79037
conclure,concluent,NA
conclure,conclu,NA
conclure,concluait,NA
conclure,concluaient,NA
conclure,concluant,3
concéder,concède,NA
concéder,concéder,8890
concéder,concèdent,NA
concéder,concédé,NA
concéder,concédait,NA
concéder,concédaient,NA
concéder,concéda,NA
concéder,concédant,NA
confier,confie,NA
confier,confier,54375
confier,confient,NA
confier,confié,NA
confier,confiait,NA
confier,confiaient,NA
confier,confia,NA
confier,confiant,26
confirmer,confirme,37162
confirmer,confirmer,48936
confirmer,confirment,5865
confirmer,confirmé,NA
confirmer,confirmait,NA
confirmer,confirmaient,NA
confirmer,confirma,535
confirmer,confirmant,NA
connaître,connaît,NA
connaître,connaître,2514
connaître,connaissent,NA
connaître,connu,144
connaître,connaissait,NA
connaître,connaissaient,NA
connaître,connut,NA
connaître,connaissant,NA
consacrer,consacre,400
consacrer,consacrer,1607
consacrer,consacrent,NA
consacrer,consacré,NA
consacrer,consacrait,NA
consacrer,consacraient,NA
consacrer,consacra,NA
consacrer,consacrant,NA
conseiller,conseille,645
conseiller,conseiller,278
conseiller,conseillent,NA
conseiller,conseillé,NA
conseiller,conseillait,NA
conseiller,conseillaient,NA
conseiller,conseilla,NA
conseiller,conseillant,NA
considérer,considère,NA
considérer,considérer,102575
considérer,considèrent,NA
considérer,considéré,NA
considérer,considérait,NA
considérer,considéraient,NA
considérer,considéra,NA
considérer,considérant,64
considérer,considéron,2616
constater,constate,59619
constater,constater,58613
constater,constatent,NA
constater,constaté,NA
constater,constatait,NA
constater,constataient,NA
constater,constata,NA
constater,constatant,NA
continuer,continue,1698
continuer,continuer,1187
continuer,continuent,NA
continuer,continué,NA
continuer,continuait,NA
continuer,continuaient,NA
continuer,continua,NA
continuer,continuant,3
convier,convie,NA
convier,convier,828
convier,convient,NA
convier,convié,51
convier,conviait,NA
convier,conviaient,NA
convier,convia,1
craindre,craint,22
craindre,craindre,50710
craindre,craignent,NA
craindre,craignait,NA
craindre,craignaient,NA
craindre,craignit,NA
craindre,craignant,5101
craindre,crainte,5209
craindre,crain,3897
critiquer,critique,10656
critiquer,critiquer,13563
critiquer,critiquent,NA
critiquer,critiqué,NA
critiquer,critiquait,NA
critiquer,critiquaient,NA
critiquer,critiqua,NA
critiquer,critiquant,5
croire,croit,NA
croire,croire,140374
croire,croient,NA
croire,cru,NA
croire,croyait,NA
croire,croyaient,NA
croire,crut,NA
croire,croyant,26
créer,crée,1
créer,créer,2288
créer,créent,NA
créer,créé,NA
créer,créait,NA
créer,créaient,NA
créer,créa,NA
créer,créant,NA
demander,demande,63707
demander,demander,104387
demander,demandent,NA
demander,demandé,NA
demander,demandait,NA
demander,demandaient,NA
demander,demanda,3135
demander,demandant,17164
demeurer,demeure,472
demeurer,demeurer,8121
demeurer,demeurent,NA
demeurer,demeuré,NA
demeurer,demeurait,NA
demeurer,demeuraient,NA
demeurer,demeura,NA
demeurer,demeurant,2593
devenir,deviens,NA
devenir,devenir,3633
devenir,deviennent,NA
devenir,devenu,228
devenir,devenait,NA
devenir,devenaient,NA
devenir,devint,1
devenir,devenant,NA
devoir,doit,NA
devoir,devoir,16035
devoir,doivent,1
devoir,dû,NA
devoir,devait,NA
devoir,devaient,NA
devoir,dut,27
devoir,devant,51
dire,dit,10
dire,dire,779893
dire,disent,NA
dire,disait,NA
dire,disaient,NA
dire,dira,NA
dire,disant,10069
dire,dirai,5711
dire,dison,4808
diriger,dirige,NA
diriger,diriger,1015
diriger,dirigent,NA
diriger,dirigé,NA
diriger,dirigeait,NA
diriger,dirigeaient,NA
diriger,dirigea,NA
diriger,dirigeant,5
donner,donne,41909
donner,donner,2728
donner,donnent,NA
donner,donné,2
donner,donnait,NA
donner,donnaient,NA
donner,donna,NA
donner,donnant,NA
décider,décide,429
décider,décider,2478
décider,décident,NA
décider,décidé,4
décider,décidait,NA
décider,décidaient,NA
décider,décida,NA
décider,décidant,NA
déclarer,déclare,81969
déclarer,déclarer,404166
déclarer,déclarent,NA
déclarer,déclaré,NA
déclarer,déclarait,NA
déclarer,déclaraient,NA
déclarer,déclara,NA
déclarer,déclarant,1
décrire,décrit,NA
décrire,décrire,20631
décrire,décrivent,NA
décrire,décrivait,NA
décrire,décrivaient,NA
décrire,décrivit,NA
décrire,décrivant,NA
défendre,défend,NA
défendre,défendre,28139
défendre,défendent,NA
défendre,défendu,14
défendre,défendait,NA
défendre,défendaient,NA
défendre,défendit,NA
défendre,défendant,2601
dénoncer,dénonce,1
dénoncer,dénoncer,63293
dénoncer,dénoncent,NA
dénoncer,dénoncé,NA
dénoncer,dénonçait,NA
dénoncer,dénonçaient,NA
dénoncer,dénonça,NA
dénoncer,dénonçant,NA
déplorer,déplore,21280
déplorer,déplorer,8193
déplorer,déplorent,NA
déplorer,déploré,10212
déplorer,déplorait,NA
déplorer,déploraient,NA
déplorer,déplora,NA
déplorer,déplorant,NA
détailler,détaille,3062
détailler,détailler,1003
détailler,détaillent,NA
détailler,détaillé,2
détailler,détaillait,NA
détailler,détaillaient,NA
détailler,détailla,NA
détailler,détaillant,NA
enchaîner,enchaîne,1943
enchaîner,enchaîner,2311
enchaîner,enchaînent,465
enchaîner,enchaîné,NA
enchaîner,enchaînait,NA
enchaîner,enchaînaient,NA
enchaîner,enchaîna,NA
enchaîner,enchaînant,NA
entendre,entend,NA
entendre,entendre,NA
entendre,entendent,NA
entendre,entendu,NA
entendre,entendait,NA
entendre,entendaient,NA
entendre,entendit,NA
entendre,entendant,NA
espérer,espère,5
espérer,espérer,66574
espérer,espèrent,NA
espérer,espéré,NA
espérer,espérait,NA
espérer,espéraient,NA
espérer,espéra,NA
espérer,espérant,6032
espérer,espéron,5959
estimer,estime,260263
estimer,estimer,178172
estimer,estiment,73653
estimer,estimé,247
estimer,estimait,NA
estimer,estimaient,NA
estimer,estima,NA
estimer,estimant,16
exiger,exige,NA
exiger,exiger,32718
exiger,exigent,NA
exiger,exigé,77
exiger,exigeait,NA
exiger,exigeaient,NA
exiger,exigea,NA
exiger,exigeant,1
expliquer,explique,259586
expliquer,expliquer,143172
expliquer,expliqua,NA
expliquer,expliquent,NA
expliquer,expliqué,NA
expliquer,expliquait,NA
expliquer,expliquaient,NA
expliquer,expliquant,NA
exposer,expose,5258
exposer,exposer,7486
exposer,exposent,NA
exposer,exposé,5495
exposer,exposait,NA
exposer,exposaient,NA
exposer,exposa,NA
exposer,exposant,NA
exprimer,exprime,9463
exprimer,exprimer,36561
exprimer,expriment,NA
exprimer,exprimé,NA
exprimer,exprimait,NA
exprimer,exprimaient,NA
exprimer,exprima,NA
exprimer,exprimant,1
faire,fait,12227
faire,faire,8168
faire,font,3
faire,faisait,NA
faire,faisaient,NA
faire,fit,NA
faire,faisant,NA
falloir,faut,30
falloir,falloir,6412
falloir,fallait,2
falloir,fallut,NA
finir,finit,NA
finir,finir,1878
finir,finissent,NA
finir,fini,28
finir,finissait,NA
finir,finissaient,NA
finir,finissant,12
fustiger,fustige,NA
fustiger,fustiger,811
fustiger,fustigent,NA
fustiger,fustigé,NA
fustiger,fustigeait,NA
fustiger,fustigeaient,NA
fustiger,fustigea,NA
fustiger,fustigeant,NA
féliciter,félicite,2904
féliciter,féliciter,362
féliciter,félicitent,NA
féliciter,félicité,1563
féliciter,félicitée,323
féliciter,félicitait,NA
féliciter,félicitaient,NA
féliciter,félicita,NA
féliciter,félicitant,30
glisser,glisse,2174
glisser,glisser,653
glisser,glissent,NA
glisser,glissé,NA
glisser,glissait,NA
glisser,glissaient,NA
glisser,glissa,NA
glisser,glissant,NA
hurler,hurle,244
hurler,hurler,208
hurler,hurlent,NA
hurler,hurlé,NA
hurler,hurlait,NA
hurler,hurlaient,NA
hurler,hurla,NA
hurler,hurlant,11
hésiter,hésite,697
hésiter,hésiter,778
hésiter,hésitent,NA
hésiter,hésité,NA
hésiter,hésitait,NA
hésiter,hésitaient,NA
hésiter,hésita,NA
hésiter,hésitant,NA
illustrer,illustre,6269
illustrer,illustrer,5966
illustrer,illustrent,NA
illustrer,illustré,NA
illustrer,illustrait,NA
illustrer,illustraient,NA
illustrer,illustra,NA
illustrer,illustrant,NA
indiquer,indique,111586
indiquer,indiquer,211418
indiquer,indiquent,NA
indiquer,indiqué,NA
indiquer,indiquait,NA
indiquer,indiquaient,NA
indiquer,indiqua,887
indiquer,indiquant,NA
informer,informe,106
informer,informer,12536
informer,informent,353
informer,informé,NA
informer,informait,NA
informer,informaient,NA
informer,informa,NA
informer,informant,NA
insister,insiste,30150
insister,insister,9194
insister,insistent,NA
insister,insisté,22910
insister,insistait,NA
insister,insistaient,NA
insister,insista,NA
insister,insistant,4
inviter,invite,5744
inviter,inviter,256
inviter,invitent,NA
inviter,invité,851
inviter,invitait,NA
inviter,invitaient,NA
inviter,invita,NA
inviter,invitant,137
ironiser,ironise,5893
ironiser,ironiser,4488
ironiser,ironisent,NA
ironiser,ironisé,NA
ironiser,ironisait,NA
ironiser,ironisaient,30
ironiser,ironisa,NA
ironiser,ironisant,NA
juger,juge,30284
juger,juger,47646
