OCCUP_M;OCCUP_F;GROUPE;GROUPE_CODE;PCS;PCS_CODE;PCS_DETAIL
exploitant agricole;exploitante agricole;Agriculteurs exploitants / Agricultrices exploitantes;1;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;
agriculteur;agricultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
cultivateur;cultivatrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
exploitant agricole;exploitante agricole;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
horticulteur;horticultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
maraîcher;maraîchère;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
arboriculteur;arboricultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
viticulteur;viticultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
éleveur;éleveuse;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10A
bûcheron;bûcheronne;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
exploitant forestier;exploitante forestière;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
élagueur;élagueuse;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10B
marin-pêcheur;marin-pêcheuse ;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
ostréiculteur;ostréicultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
pisciculteur;piscicultrice;Agriculteurs exploitants / Agricultrices exploitantes;;Exploitants / Exploitantes de l’agriculture, sylviculture, pêche et aquaculture ;10;10C
jardinier;jardinière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21A
maçon;maçonne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
charpentier;charpentière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
zingueur;zingueuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
menuisier;menuisière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
plombier;plombière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
électricien;électricienne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21B
mécanicien;mécanicienne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
carossier;carossière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
couturier;couturière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
tapissier;tapissière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
décorateur;décoratrice;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
cordonnier;cordonnière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
bijoutier;bijoutière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
graveur;graveuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
luthier;luthière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21C
boucher;bouchère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
traiteur;traiteuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
charcutier;charcutière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
fromager;fromagère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
boulanger;boulangère;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
confiseur;confiseuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21D
ambulancier;ambulancière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
chauffeur de taxi;chauffeuse de taxi;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
transporteur routier;transporteuse routière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
chauffeur-livreur;chauffeuse-livreuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
coiffeur;coiffeuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
esthéticien;esthéticienne;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
tatoueur;tatoueuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
blanchisseur;blanchisseuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Artisans / Artisanes ;21;21E
commerçant;commerçante;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;
épicier;épicière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22A
poissonnier;poissonnière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22A
marchand de journaux;marchande de journaux;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22B
restaurateur;restauratrice;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22C
cafetier;cafetière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22C
chef cuisinier;cheffe cuisinière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22C
hôtelier;hôtelière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22C
courtier;courtière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
agent immobilier;agente immobilière;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
conseiller de vente;conseillère de vente;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
marchand de biens;marchande de biens;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
négociateur;négociatrice;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
agent commercial;agente commerciale;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
vendeur;vendeuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
acheteur;acheteuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
démarcheur;démarcheuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
négociant;négociante;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
directeur de théâtre;directrice de théâtre;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
directeur d'agence;directrice d'agence;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
consultant;consultante;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
conseiller funéraire;conseillère funéraire;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
guérisseur;guérisseuse;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Commerçants / Commerçantes et assimilés ;22;22D
chef d'entreprise;cheffe d'entreprise;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Chefs / Cheffes d’entreprise de plus de 10 personnes ;23;
administrateur de société;administratrice de société;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Chefs / Cheffes d’entreprise de plus de 10 personnes ;23;
cadre dirigeant;cadre dirigeante;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Chefs / Cheffes d’entreprise de plus de 10 personnes ;23;
directeur général;directrice générale;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Chefs / Cheffes d’entreprise de plus de 10 personnes ;23;
président directeur général;présidente directrice générale;Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise;2;Chefs / Cheffes d’entreprise de plus de 10 personnes ;23;
chirurgien;chirurgienne;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31A
acupuncteur;acupunctrice;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31A
pharmacien;pharmacienne;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31A
avocat;avocate;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31B
expert-comptable;experte-comptable;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31B
conseiller juridique;conseillère juridique;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31B
huissier;huissière;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31B
administrateur judiciaire;administratrice judiciaire;Cadres et professions intellectuelles supérieures;3;Professions libérales;31;31B
colonel;colonelle;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
directeur d'hôpital;directrice d'hôpital;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
directeur de cabinet;directrice de cabinet;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
directeur départemental;directrice départementale;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
inspecteur;inspectrice;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
préfet;préfète;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
recteur;rectrice;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
secrétaire général;secrétaire générale;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
magistrat;magistrate;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
avocat général;avocate générale;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
maître des requêtes;maîtresse des requêtes;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
procureur;procureure;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33A
ingénieur;ingénieure;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33B
directeur des services;directrice des services;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33B
développeur web;développeuse web;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33B
chef de projet;cheffe de projet;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33B
inspecteur des finances;inspectrice des finances;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
chargé de mission;chargée de mission;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
commandant de police;commandante de police;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
greffier;greffière;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
inspecteur du travail;inspectrice du travail;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
percepteur;perceptrice;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
chargé d'études;chargée d'études;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33C
officier de gendarmerie;officière de gendarmerie;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33D
ingénieur d'études;ingénieure d'études;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33D
conseiller municipal;conseillère municipale;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;33E
maire adjoint;maire adjointe;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;34e
député;députée;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;35e
sénateur;sénatrice;Cadres et professions intellectuelles supérieures;3;Cadres administratifs et techniques de la fonction publique ;33;36e
agrégé;agrégée;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34A
professeur;professeure;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34A
enseignant;enseignante;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34A
chef d'établissement;cheffe d'établissement;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34A
proviseur;proviseure;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34A
enseignant-chercheur;enseignante-chercheuse;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
historien;historienne;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
mathématicien;mathématicienne;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
maître de conférences;maîtresse de conférences;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
professeur des universités;professeure des universités;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
chargé de cours;chargée de cours;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
ingénieur de recherche;ingénieure de recherche;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
doctorant;doctorante;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
physicien;physicienne;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34B
praticien hospitalier;praticienne hospitalière;Cadres et professions intellectuelles supérieures;3;Professeurs / Professeures et professions scientifiques supérieures ;34;34C
conservateur de bibliothèques;conservatrice de bibliothèques;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35A
administrateur;administratrice;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35A
conservateur de musée;conservatrice de musée;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35A
blogueur;blogueuse;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
chroniqueur;chroniqueuse;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
dessinateur;dessinatrice;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
envoyé spécial;envoyée spéciale;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
rédacteur;rédactrice;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
écrivain;écrivaine;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
auteur;auteure;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
traducteur;traductrice;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
romancier;romancière;Cadres et professions intellectuelles supérieures;3;Professions de l’information, de l’art et des spectacles;35;35B
