Numeric;Alphabetic_en;Alphabetic_fr
0;zero;zéro
1;one;un
2;two;deux
3;three;trois
4;four;quatre
5;five;cinq
6;six;six
7;seven;sept
8;eight;huit
9;nine;neuf
10;ten;dix
11;eleven;onze
12;twelve;douze
13;thirteen;treize
14;fourteen;quatorze
15;fifteen;quinze
16;sixteen;seize
17;seventeen;dix-sept
18;eighteen;dix-huit
19;nineteen;dix-neuf
20;twenty-;vingt
21;twenty-one;vingt et un
22;twenty-two;vingt-deux
23;twenty-three;vingt-trois
24;twenty-four;vingt-quatre
25;twenty-five;vingt-cinq
26;twenty-six;vingt-six
27;twenty-seven;vingt-sept
28;twenty-eight;vingt-huit
29;twenty-nine;vingt-neuf
30;thirty-;trente
31;thirty-one;trente et un
32;thirty-two;trente-deux
33;thirty-three;trente-trois
34;thirty-four;trente-quatre
35;thirty-five;trente-cinq
36;thirty-six;trente-six
37;thirty-seven;trente-sept
38;thirty-eight;trente-huit
39;thirty-nine;trente-neuf
40;forty-;quarante
41;forty-one;quarante et un
42;forty-two;quarante-deux
43;forty-three;quarante-trois
44;forty-four;quarante-quatre
45;forty-five;quarante-cinq
46;forty-six;quarante-six
47;forty-seven;quarante-sept
48;forty-eight;quarante-huit
49;forty-nine;quarante-neuf
50;fifty-;cinquante
51;fifty-one;cinquante et un
52;fifty-two;cinquante-deux
53;fifty-three;cinquante-trois
54;fifty-four;cinquante-quatre
55;fifty-five;cinquante-cinq
56;fifty-six;cinquante-six
57;fifty-seven;cinquante-sept
58;fifty-eight;cinquante-huit
59;fifty-nine;cinquante-neuf
60;sixty-;soixante
61;sixty-one;soixante et un
62;sixty-two;soixante-deux
63;sixty-three;soixante-trois
64;sixty-four;soixante-quatre
65;sixty-five;soixante-cinq
66;sixty-six;soixante-six
67;sixty-seven;soixante-sept
68;sixty-eight;soixante-huit
69;sixty-nine;soixante-neuf
70;seventy-;soixante-dix
71;seventy-one;soixante et onze
72;seventy-two;soixante-douze
73;seventy-three;soixante-treize
74;seventy-four;soixante-quatorze
75;seventy-five;soixante-quinze
76;seventy-six;soixante-seize
77;seventy-seven;soixante-dix-sept
78;seventy-eight;soixante-dix-huit
79;seventy-nine;soixante-dix-neuf
80;eighty-;quatre-vingts
81;eighty-one;quatre-vingt et un
82;eighty-two;quatre-vingt-deux
83;eighty-three;quatre-vingt-trois
84;eighty-four;quatre-vingt-quatre
85;eighty-five;quatre-vingt-cinq
86;eighty-six;quatre-vingt-six
87;eighty-seven;quatre-vingt-sept
88;eighty-eight;quatre-vingt-huit
89;eighty-nine;quatre-vingt-neuf
90;ninety-;quatre-vingt-dix
91;ninety-one;quatre-vingt-onze
92;ninety-two;quatre-vingt-douze
93;ninety-three;quatre-vingt-treize
94;ninety-four;quatre-vingt-quatorze
95;ninety-five;quatre-vingt-quinze
96;ninety-six;quatre-vingt-seize
97;ninety-seven;quatre-vingt-dix-sept
98;ninety-eight;quatre-vingt-dix-huit
99;ninety-nine;quatre-vingt-dix-neuf
100;one hundred;cent